Process	CPU	PID	Description	Company Name	Command Line	Start Time
  svchost.exe		1496	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\system32\svchost.exe -k netsvcs -p	06:47:24 p. m. 29/01/2020
  svchost.exe		1700	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\system32\svchost.exe -k netsvcs -p	06:47:24 p. m. 29/01/2020
  svchost.exe	< 0.01	1752	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p	06:47:24 p. m. 29/01/2020
  svchost.exe	0.05	1804	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p	06:47:24 p. m. 29/01/2020
  WUDFHost.exe		1836				06:47:24 p. m. 29/01/2020
  igfxCUIService.exe		1852	igfxCUIService Module	Intel Corporation	C:\Windows\System32\DriverStore\FileRepository\igdlh64.inf_amd64_95cb371d046d4b4c\igfxCUIService.exe	06:47:24 p. m. 29/01/2020
  svchost.exe	< 0.01	1912	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork -p	06:47:24 p. m. 29/01/2020
  svchost.exe	0.03	1952	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\system32\svchost.exe -k netsvcs -p	06:47:24 p. m. 29/01/2020
   sihost.exe	0.47	9112	Shell Infrastructure Host	Microsoft Corporation	sihost.exe	01:08:45 p. m. 30/01/2020
  NVDisplay.Container.exe		2028	NVIDIA Container	NVIDIA Corporation	"C:\Program Files\NVIDIA Corporation\Display.NvContainer\NVDisplay.Container.exe" -s NVDisplay.ContainerLocalSystem -f "C:\ProgramData\NVIDIA\NVDisplay.ContainerLocalSystem.log" -l 3 -d "C:\Program Files\NVIDIA Corporation\Display.NvContainer\plugins\LocalSystem" -r -p 30000 	06:47:24 p. m. 29/01/2020
   NVDisplay.Container.exe	< 0.01	11844				12:57:31 p. m. 30/01/2020
  svchost.exe	< 0.01	1572	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\System32\svchost.exe -k NetworkService -p	06:47:24 p. m. 29/01/2020
  svchost.exe	< 0.01	2136	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p	06:47:24 p. m. 29/01/2020
  svchost.exe	< 0.01	2144	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\System32\svchost.exe -k netsvcs -p	06:47:24 p. m. 29/01/2020
  svchost.exe	< 0.01	2160	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\System32\svchost.exe -k LocalService -p	06:47:24 p. m. 29/01/2020
  svchost.exe	< 0.01	2216	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p	06:47:24 p. m. 29/01/2020
  svchost.exe	< 0.01	2224	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\system32\svchost.exe -k LocalService -p	06:47:24 p. m. 29/01/2020
  svchost.exe	0.19	2524	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\system32\svchost.exe -k netsvcs -p	06:47:24 p. m. 29/01/2020
  svchost.exe	< 0.01	2544	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p	06:47:24 p. m. 29/01/2020
  svchost.exe	< 0.01	2576	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted -p	06:47:24 p. m. 29/01/2020
  svchost.exe	< 0.01	2584	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\system32\svchost.exe -k netsvcs -p	06:47:24 p. m. 29/01/2020
  svchost.exe	< 0.01	2692	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\System32\svchost.exe -k NetSvcs -p	06:47:24 p. m. 29/01/2020
  svchost.exe	< 0.01	3044	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p	06:47:25 p. m. 29/01/2020
   audiodg.exe		10436				01:10:49 p. m. 30/01/2020
  svchost.exe	0.19	2796	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\system32\svchost.exe -k appmodel -p	06:47:25 p. m. 29/01/2020
  svchost.exe	< 0.01	544	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p	06:47:25 p. m. 29/01/2020
  svchost.exe	< 0.01	3080	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p	06:47:25 p. m. 29/01/2020
  svchost.exe	< 0.01	3164	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\System32\svchost.exe -k netsvcs -p	06:47:25 p. m. 29/01/2020
  spoolsv.exe		3272	Aplicación de subsistema de cola	Microsoft Corporation	C:\Windows\System32\spoolsv.exe	06:47:25 p. m. 29/01/2020
  svchost.exe		3308	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\System32\svchost.exe -k NetworkService -p	06:47:25 p. m. 29/01/2020
  nvwmi64.exe		3396	NVIDIA WMI Provider	NVIDIA Corporation	"C:\Windows\system32\nvwmi64.exe"	06:47:25 p. m. 29/01/2020
   nvwmi64.exe	< 0.01	9772				12:57:31 p. m. 30/01/2020
  svchost.exe		3580	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\system32\svchost.exe -k apphost	06:47:25 p. m. 29/01/2020
  svchost.exe		3616	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\system32\svchost.exe -k iissvcs	06:47:25 p. m. 29/01/2020
  client32.exe	0.03	3624	NetSupport Client Application	NetSupport Ltd	"C:\Program Files (x86)\NetSupport\NetSupport School\client32.exe" /* CC201-20	06:47:25 p. m. 29/01/2020
   client32.exe	0.02	8960				12:57:31 p. m. 30/01/2020
    runplugin.exe	0.03	13736				01:08:53 p. m. 30/01/2020
    Runplugin64.exe	0.04	9380				01:08:53 p. m. 30/01/2020
    runplugin.exe	0.03	4824	NetSupport Runplugin	NetSupport Ltd	"C:\Program Files (x86)\NetSupport\NetSupport School\runplugin.exe"	01:08:53 p. m. 30/01/2020
    Runplugin64.exe	0.02	10452	NetSupport Runplugin	NetSupport Ltd	"C:\Program Files (x86)\NetSupport\NetSupport School\runplugin64.exe"	01:08:53 p. m. 30/01/2020
  DSAService.exe	0.02	3648	DSAService	Intel	"C:\Program Files (x86)\Intel\Driver and Support Assistant\DSAService.exe"	06:47:25 p. m. 29/01/2020
  vmware-authd.exe		3660	VMware Authorization Service	VMware, Inc.	"C:\Program Files (x86)\VMware\VMware Player\vmware-authd.exe"	06:47:25 p. m. 29/01/2020
  hAgentSvc.exe	< 0.01	3676	Application for VMS Agent		"C:\Program Files\Hauri\Virobot Management System\Agent\hAgentSvc.exe"	06:47:25 p. m. 29/01/2020
  IntelCpHDCPSvc.exe		3684	Intel HD Graphics Drivers for Windows(R)	Intel Corporation	C:\Windows\System32\DriverStore\FileRepository\igdlh64.inf_amd64_95cb371d046d4b4c\IntelCpHDCPSvc.exe	06:47:25 p. m. 29/01/2020
  FNPLicensingService64.exe		3700	Activation Licensing Service	Flexera	"C:\Program Files\Common Files\Macrovision Shared\FlexNet Publisher\FNPLicensingService64.exe"	06:47:25 p. m. 29/01/2020
  hUpSvc.exe	< 0.01	3716	Hauri Common Update Service	Hauri, Inc.	"C:\Program Files\Hauri\Common\Update\hUpSvc.exe"	06:47:25 p. m. 29/01/2020
  svchost.exe	0.01	3732	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\System32\svchost.exe -k utcsvc -p	06:47:25 p. m. 29/01/2020
  svchost.exe		3740	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\system32\svchost.exe -k netsvcs -p	06:47:25 p. m. 29/01/2020
  hVrCommandSvc.exe	0.12	3748	hVrCommandSvc.exe	Hauri, Inc.	"C:\Program Files\Hauri\VRIS70\hVrCommandSvc.exe"	06:47:25 p. m. 29/01/2020
   hVrTray.exe	0.02	12568				01:08:57 p. m. 30/01/2020
  svchost.exe		3756	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork -p	06:47:25 p. m. 29/01/2020
  TPMProvisioningService.exe		3764	Intel(R) TPM Provisioning Service	Intel(R) Corporation	"C:\Windows\System32\Intel\iCLS Client\lib\TPMProvisioningService.exe"	06:47:25 p. m. 29/01/2020
  Sks8821.exe		3772			"C:\Program Files\Lenovo\Lenovo Slim USB Keyboard\Sks8821.exe"	06:47:25 p. m. 29/01/2020
   skdh8821.exe		5220				01:09:00 p. m. 30/01/2020
  SMSvcHost.exe		3780	SMSvcHost.exe	Microsoft Corporation	C:\Windows\Microsoft.NET\Framework64\v4.0.30319\SMSvcHost.exe	06:47:25 p. m. 29/01/2020
  Gateway32.exe	< 0.01	3792	NetSupport Gateway Application	NetSupport Ltd	"C:\Program Files (x86)\Common Files\NSL\Connectivity Server\Gateway32.exe"	06:47:25 p. m. 29/01/2020
  vmware-usbarbitrator64.exe	< 0.01	3800	VMware USB Arbitration Service	VMware, Inc.	"C:\Program Files (x86)\Common Files\VMware\USB\vmware-usbarbitrator64.exe"	06:47:25 p. m. 29/01/2020
  svchost.exe		3808	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\system32\svchost.exe -k imgsvc	06:47:25 p. m. 29/01/2020
  vmnat.exe	< 0.01	3816	VMware NAT Service	VMware, Inc.	C:\Windows\SysWOW64\vmnat.exe	06:47:25 p. m. 29/01/2020
  sqlwriter.exe		3824	SQL Server VSS Writer - 64 Bit	Microsoft Corporation	"C:\Program Files\Microsoft SQL Server\90\Shared\sqlwriter.exe"	06:47:25 p. m. 29/01/2020
  vmnetdhcp.exe		3832	VMware VMnet DHCP service	VMware, Inc.	C:\Windows\SysWOW64\vmnetdhcp.exe	06:47:25 p. m. 29/01/2020
  sqlbrowser.exe	0.01	3840	SQL Browser Service EXE	Microsoft Corporation	"C:\Program Files (x86)\Microsoft SQL Server\90\Shared\sqlbrowser.exe"	06:47:25 p. m. 29/01/2020
  hLogSvc.exe	0.09	3848	Hauri Common Log Service	HAURI Inc.	"C:\Program Files\Hauri\Common\log\hLogSvc.exe" -agent	06:47:25 p. m. 29/01/2020
  armsvc.exe		3856	Adobe Acrobat Update Service	Adobe Systems	"C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe"	06:47:25 p. m. 29/01/2020
  svchost.exe		3864	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\system32\svchost.exe -k LocalService -p	06:47:25 p. m. 29/01/2020
  svchost.exe		3876	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p	06:47:25 p. m. 29/01/2020
  svchost.exe		3908	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\system32\svchost.exe -k LocalService -p	06:47:25 p. m. 29/01/2020
  svchost.exe		3920	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\system32\svchost.exe -k NetworkService -p	06:47:25 p. m. 29/01/2020
  svchost.exe		3976	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\system32\svchost.exe -k netsvcs -p	06:47:25 p. m. 29/01/2020
  svchost.exe		4188	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\System32\svchost.exe -k NetworkService -p	06:47:25 p. m. 29/01/2020
  MsDtsSrvr.exe		4252	 	Microsoft Corporation	"C:\Program Files\Microsoft SQL Server\120\DTS\Binn\MsDtsSrvr.exe"	06:47:25 p. m. 29/01/2020
  svchost.exe		4372	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\System32\svchost.exe -k LocalService -p	06:47:25 p. m. 29/01/2020
  svchost.exe		4684	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p	06:47:25 p. m. 29/01/2020
  svchost.exe	< 0.01	4832	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\System32\svchost.exe -k netsvcs	06:47:26 p. m. 29/01/2020
  svchost.exe	0.01	5232	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\System32\svchost.exe -k NetworkService -p	06:47:26 p. m. 29/01/2020
  sqlservr.exe	17.45	5240	SQL Server Windows NT - 64 Bit	Microsoft Corporation	"C:\Program Files\Microsoft SQL Server\MSSQL12.SA\MSSQL\Binn\sqlservr.exe" -sSA	06:47:26 p. m. 29/01/2020
  ReportingServicesService.exe	0.01	5280	Reporting Services Service	Microsoft Corporation	"C:\Program Files\Microsoft SQL Server\MSRS12.SA\Reporting Services\ReportServer\bin\ReportingServicesService.exe"	06:47:26 p. m. 29/01/2020
  SMSvcHost.exe		5288	SMSvcHost.exe	Microsoft Corporation	C:\Windows\Microsoft.NET\Framework64\v3.0\Windows Communication Foundation\SMSvcHost.exe	06:47:26 p. m. 29/01/2020
  msmdsrv.exe	0.01	5508	Microsoft SQL Server Analysis Services	Microsoft Corporation	"C:\Program Files\Microsoft SQL Server\MSAS12.SA\OLAP\bin\msmdsrv.exe" -s "C:\Program Files\Microsoft SQL Server\MSAS12.SA\OLAP\Config"	06:47:26 p. m. 29/01/2020
  svchost.exe	< 0.01	5840	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p	06:47:26 p. m. 29/01/2020
  svchost.exe		6380	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p	06:47:26 p. m. 29/01/2020
  SecurityHealthService.exe		7632	Windows Security Health Service	Microsoft Corporation	C:\Windows\system32\SecurityHealthService.exe	06:47:30 p. m. 29/01/2020
  DSAUpdateService.exe		6048	DSAUpdateService	Intel	"C:\Program Files (x86)\Intel\Driver and Support Assistant\DSAUpdateService.exe"	06:47:39 p. m. 29/01/2020
  fdlauncher.exe		8284	SQL Full-text Filter Daemon Launch Service	Microsoft Corporation	"C:\Program Files\Microsoft SQL Server\MSSQL12.SA\MSSQL\Binn\fdlauncher.exe" -s MSSQL12.SA	06:47:43 p. m. 29/01/2020
   fdhost.exe		8476				06:47:44 p. m. 29/01/2020
    conhost.exe		8484				06:47:44 p. m. 29/01/2020
  svchost.exe	0.01	8388	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p	06:47:43 p. m. 29/01/2020
  CcmExec.exe	0.24	3464	Host Process for Microsoft Configuration Manager	Microsoft Corporation	C:\Windows\CCM\CcmExec.exe	06:49:27 p. m. 29/01/2020
   SCNotification.exe	< 0.01	10248	SCNotification	Microsoft Corporation	"C:\Windows\CCM\SCNotification.exe"	01:08:56 p. m. 30/01/2020
  svchost.exe	< 0.01	3448	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\system32\svchost.exe -k LocalService -p	06:49:28 p. m. 29/01/2020
  svchost.exe	0.03	8272	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p	06:49:28 p. m. 29/01/2020
  jhi_service.exe		2244	Intel(R) Dynamic Application Loader Host Interface	Intel Corporation	C:\Windows\System32\DriverStore\FileRepository\dal.inf_amd64_0a3294d3216a4a83\jhi_service.exe	06:49:28 p. m. 29/01/2020
  LMS.exe		6368	Intel(R) Local Management Service	Intel Corporation	"C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\LMS\LMS.exe"	06:49:30 p. m. 29/01/2020
  SgrmBroker.exe		9100	Servicio Agente de supervisión en tiempo de ejecución de Protección del sistema	Microsoft Corporation	C:\Windows\system32\SgrmBroker.exe	06:49:32 p. m. 29/01/2020
  svchost.exe		1896	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\system32\svchost.exe -k netsvcs -p	06:49:33 p. m. 29/01/2020
  SearchIndexer.exe	< 0.01	2592	Microsoft Windows Search Indexer	Microsoft Corporation	C:\Windows\system32\SearchIndexer.exe /Embedding	06:49:34 p. m. 29/01/2020
   SearchProtocolHost.exe		12020				01:17:22 p. m. 30/01/2020
   SearchFilterHost.exe		4324				01:17:22 p. m. 30/01/2020
  PresentationFontCache.exe		9448	PresentationFontCache.exe	Microsoft Corporation	C:\Windows\Microsoft.Net\Framework64\v3.0\WPF\PresentationFontCache.exe	06:57:58 p. m. 29/01/2020
  svchost.exe		9672	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\system32\svchost.exe -k netsvcs -p	06:57:58 p. m. 29/01/2020
  svchost.exe		9828	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p	06:57:58 p. m. 29/01/2020
   ctfmon.exe		9028				01:08:49 p. m. 30/01/2020
  svchost.exe	0.01	11404	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\System32\svchost.exe -k LocalService -p	06:58:02 p. m. 29/01/2020
  svchost.exe		12792	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\system32\svchost.exe -k netsvcs -p	06:58:08 p. m. 29/01/2020
  svchost.exe	4.85	13144	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\system32\svchost.exe -k netsvcs -p	06:58:08 p. m. 29/01/2020
  SUService.exe		10260	Lenovo System Update Service		"C:\Program Files (x86)\Lenovo\System Update\SUService.exe"	06:58:59 p. m. 29/01/2020
  isa.exe		2676	Intel(R) Security Assist	Intel Corporation	"C:\Program Files (x86)\Intel\Intel(R) Security Assist\isa.exe"	07:17:25 p. m. 29/01/2020
  hVrMalSvc.exe	7.45	10392	ViRobot Anti-Malware Service	Hauri, Inc.	"C:\Program Files\Hauri\VRIS70\hVrMalSvc.exe"	04:29:33 a. m. 30/01/2020
  svchost.exe		10560	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\system32\svchost.exe -k LocalService -p	11:22:49 a. m. 30/01/2020
  svchost.exe		3504	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p	12:47:25 p. m. 30/01/2020
  svchost.exe		4352	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\system32\svchost.exe -k netsvcs -p	01:08:45 p. m. 30/01/2020
  svchost.exe		9464	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\system32\svchost.exe -k UnistackSvcGroup -s CDPUserSvc	01:08:45 p. m. 30/01/2020
  svchost.exe	0.19	12648	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\system32\svchost.exe -k UnistackSvcGroup -s WpnUserService	01:08:45 p. m. 30/01/2020
  svchost.exe		12656	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\system32\svchost.exe -k ClipboardSvcGroup -p -s cbdhsvc	01:08:46 p. m. 30/01/2020
  svchost.exe		8824	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\system32\svchost.exe -k netsvcs -p	01:08:46 p. m. 30/01/2020
  svchost.exe		2876	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p	01:09:17 p. m. 30/01/2020
  svchost.exe		1276	Proceso host para los servicios de Windows	Microsoft Corporation	C:\Windows\System32\svchost.exe -k netsvcs -p	01:10:20 p. m. 30/01/2020
